S.No,Semester,Division,Dept,course_num,course_name,Course Level,Hrs Per Week,course_category,description,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
9,Fall,School of Computer Science,ISR,17214,PRIN 0-0 SFTWR CONST,Undergraduate,14.51,applied,"Software engineers today are less likely to design data structures and algorithms from scratch and more likely to build systems from library and framework components. In this course, students engage with concepts related to the construction of software systems at scale, building on their understanding of the basic building blocks of data structures, algorithms, and program and computer structures. The course covers technical topics in four areas: (1) concepts of design for complex systems, (2) object-oriented programming, (3) static and dynamic analysis for programs, and (4) concurrency. At the conclusion of this course, students will have substantial experience building medium-sized software systems in Java or JavaScript.",4.27,4.24,4.38,4.04,4.36,4.16,4.4,4.13,4.13
28,Spring,School of Computer Science,SE,17214,PRIN 0-0 SFTWR CONST,Undergraduate,13.09,applied,"Software engineers today are less likely to design data structures and algorithms from scratch and more likely to build systems from library and framework components. In this course, students engage with concepts related to the construction of software systems at scale, building on their understanding of the basic building blocks of data structures, algorithms, and program and computer structures. The course covers technical topics in four areas: (1) concepts of design for complex systems, (2) object-oriented programming, (3) static and dynamic analysis for programs, and (4) concurrency. At the conclusion of this course, students will have substantial experience building medium-sized software systems in Java. WAITLIST PROCESSING: Students with an SE minor will be considered first, followed by grade, and order you are on the waitlist.",4.39,4.18,4.48,3.88,4.51,4.38,4.86,4.26,4.26
29,Spring,School of Computer Science,SE,17356,SE FOR STARTUPS,Undergraduate,9.29,applied,"Startup engineering is critical to innovation. The skills required to effectively prototype, launch, and scale products are vital to engineers everywhere, from fledgling companies founded in dorm rooms to local mid-size companies to internal startups from multi-national tech giants. However, developing software in a startup environment poses unique engineering challenges. These challenges include making and justifying foundational architectural and technical decisions despite extreme uncertainty; rapidly prototyping and evaluating new ideas and features, while building minimum viable products; prioritizing engineering effort in severely constrained environments; and communicating effectively both within a small engineering team and with internal and external non-technical stakeholders. This course teaches the skills necessary to engineer successfully in a startup environment, through lectures, group projects, case study discussions, and guest speakers drawn from experienced, practicing startup engineers. This is an engineering-focused course; no entrepreneurship background is required or expected. Students do not need to have a startup idea to participate fully. Prerequisites: 17-214 OR 15-213",4.36,3.93,4.14,4,4.43,4.14,4.36,4.36,4.29
10,Fall,Carnegie Institute of Technology,ECE,18715,PHYSCS APPLD MAGNTSM,Graduate,9.67,applied,In this course we address the physics of magnetism of solids with emphasis on magnetic material properties and phenomena which are useful in various applications. Various applications of magnetism are used to motivate the understanding of the physical properties and phenomena.,5,4.67,4.89,5,5,4.67,5,4.78,4.89
11,Fall,Carnegie Institute of Technology,EPP,19603,ST: DATA SCIENCE,Graduate,12.09,applied,"Students will learn how to use R to collect, organize, and analyze data in technology, innovation, and policy-related domains. The focus will be on the practical issues faced when conducting data analyses, correctly implementing and interpreting statistical models, and summarizing results for clients and research purposes.",4.78,4.41,4.48,4.56,4.5,4.47,4.97,4.56,4.53
12,Fall,Mellon College of Science,MSC,21122,INTEGRTN & APPROX,Undergraduate,7.67,theory,"The content of this course includes the origins of magnetism at the atomic level and the origins of magnetic ordering (ferro-, ferri-, and antiferro-magnetism), magnetic anisotropy, magnetic domains, domain walls, spin dynamics and electronic transport at the crystalline level. The principles of magnetic crystal symmetry, tensors, and energy minimization are utilized to explore magnetic properties such as resonance, domain structures, magnetocrystalline anisotropy, magnetostriction and magnetoelasticity, and susceptibility. Phenomenological properties, such as the technical magnetization process, are used to describe mechanisms of coercivity, eddy current effects and losses, while energy minimization and relaxation are used to explain properties such as single domain particle behavior, memory mechanisms, magnetic aftereffects and thermal stability.",4.28,4.5,4.36,4.06,4.06,4.45,4.68,4.35,4.24
30,Spring,Mellon College of Science,MSC,21122,INTEGRTN & APPROX,Undergraduate,7.97,theory,"Integration by trigonometric substitution and partial fractions; arclength; improper integrals; Simpsons and Trapezoidal Rules for numerical integration; separable differential equations, Newtons method, Eulers method, Taylors Theorem including a discussion of the remainder, sequences, series, power series. Parametric curves, polar coordinates, vectors, dot product. (Three 50 minute lectures, two 50 minute recitations)",3.74,3.61,3.61,3.2,3.61,3.38,4.23,3.18,3.26
41,Summer,Mellon College of Science,MSC,21122,INTEGRTN & APPROX,Undergraduate,12.29,theory,"Integration by trigonometric substitution and partial fractions; arclength; improper integrals; Simpsons and Trapezoidal Rules for numerical integration; separable differential equations, Newtons method, Eulers method, Taylors Theorem including a discussion of the remainder, sequences, series, power series. Parametric curves, polar coordinates, vectors, dot product. (Three 50 minute lectures, two 50 minute recitations)",4.57,3.86,3.71,2.71,3.14,3.29,4.71,3,2.86
13,Fall,Mellon College of Science,MSC,21127,CONCEPTS OF MATHMTCS,Undergraduate,12.6,theory,"This course introduces the basic concepts, ideas and tools involved in doing mathematics. As such, its main focus is on presenting informal logic, and the methods of mathematical proof. These subjects are closely related to the application of mathematics in many areas, particularly computer science. Topics discussed include a basic introduction to elementary number theory, induction, the algebra of sets, relations, equivalence relations, congruences, partitions, and functions, including injections, surjections, and bijections. A basic introduction to the real numbers, rational and irrational numbers. Supremum and infimum of a set. 3 hrs. lec., 2 hrs. rec.",4.04,4.27,4.25,3.73,4.05,4.16,4.15,4.06,3.92
31,Spring,Mellon College of Science,MSC,21127,CONCEPTS OF MATHMTCS,Undergraduate,11.17,theory,"This course introduces the basic concepts, ideas and tools involved in doing mathematics. As such, its main focus is on presenting informal logic, and the methods of mathematical proof. These subjects are closely related to the application of mathematics in many areas, particularly computer science. Topics discussed include a basic introduction to elementary number theory, induction, the algebra of sets, relations, equivalence relations, congruences, partitions, and functions, including injections, surjections, and bijections. A basic introduction to the real numbers, rational and irrational numbers. Supremum and infimum of a set. (Three 50 minute lectures, two 50 minute recitations)",4.34,4.42,4.37,3.98,4.33,4.31,4.56,4.29,4.18
42,Summer,Mellon College of Science,MSC,21127,CONCEPTS OF MATHMTCS,Undergraduate,17.12,theory,"This course introduces the basic concepts, ideas and tools involved in doing mathematics. As such, its main focus is on presenting informal logic, and the methods of mathematical proof. These subjects are closely related to the application of mathematics in many areas, particularly computer science. Topics discussed include a basic introduction to elementary number theory, induction, the algebra of sets, relations, equivalence relations, congruences, partitions, and functions, including injections, surjections, and bijections. A basic introduction to the real numbers, rational and irrational numbers. Supremum and infimum of a set. (Three 50 minute lectures, two 50 minute recitations)",4.76,4.76,4.82,4.41,4.79,4.79,4.68,4.76,4.62
14,Fall,Mellon College of Science,MSC,21260,DIFFRENTL EQUATIONS,Undergraduate,9.28,theory,"Ordinary differential equations: first and second order equations, applications, Laplace transforms; partial differential equations: partial derivatives, separation of variables, Fourier series; systems of ordinary differential equations; applications. 21-259 or 21-268 or 21-269 are recommended. 3 hrs. lec., 1 hr. rec.",4.7,4.6,4.52,4.38,4.51,4.63,4.96,4.57,4.54
32,Spring,Mellon College of Science,MSC,21260,DIFFRENTL EQUATIONS,Undergraduate,10.4,theory,"Ordinary differential equations: first and second order equations, applications, Laplace transforms; partial differential equations: partial derivatives, separation of variables, Fourier series; systems of ordinary differential equations; applications. 21-259 or 21-268 or 21-269 are recommended. (Three 50 minute lectures, one 50 minute recitation)",4.34,4.21,4.23,3.92,4.11,4.08,4.6,4.07,4.02
43,Summer,Mellon College of Science,MSC,21260,DIFFRENTL EQUATIONS,Undergraduate,10.4,theory,"Ordinary differential equations: first and second order equations, applications, Laplace transforms; partial differential equations: partial derivatives, separation of variables, Fourier series; systems of ordinary differential equations; applications. 21-259 or 21-268 or 21-269 are recommended. (Three 50 minute lectures, one 50 minute recitation)",4.6,4.6,4.8,4.4,4.7,4.6,4.8,4.6,4.4
15,Fall,Carnegie Institute of Technology,MEG,24352,DYNMC SYS & CONTROL,Undergraduate,12,applied,"This second course on the modeling and analysis of dynamic systems emphasizes the common features, which are exhibited by physical systems that include mechanical, hydraulic, pneumatic, thermal, electrical, and electromechanical elements. State equations and the concepts of equilibrium, linearization, and stability are discussed. Time and frequency domain solutions are developed. 4 hr. lec.",4.92,4.83,4.67,4.58,4.83,4.67,5,4.75,4.58
33,Spring,Carnegie Institute of Technology,MEG,24352,DYNMC SYS & CONTROL,Undergraduate,10.42,applied,"This second course on the modeling and analysis of dynamic systems emphasizes the common features, which are exhibited by physical systems that include mechanical, hydraulic, pneumatic, thermal, electrical, and electromechanical elements. State equations and the concepts of equilibrium, linearization, and stability are discussed. Time and frequency domain solutions are developed. 4 hr. lec.",4.71,4.66,4.6,4.13,4.61,4.61,4.87,4.68,4.55
16,Fall,Dietrich College of Humanities and Social Sciences,STA,36200,REASONING DATA,Undergraduate,5.49,applied,"This course is an introduction to learning how to make statistical decisions and reason with data. The approach will emphasize thinking through an empirical problem from beginning to end and using statistical tools to look for evidence for/against an explicit argument/hypothesis. Types of data will include continuous and categorical variables, images, text, networks, and repeated measures over time. Applications will largely draw from interdisciplinary case studies spanning the humanities, social sciences, and related fields. Methodological topics will include basic exploratory data analysis, elementary probability, hypothesis tests, and empirical research methods. There is no calculus or programming requirement. There will be one weekly computer lab for additional hands-on practice using an interactive software platform that allows student-driven inquiry. This course is the credit-equivalent to 36-201 and will be honored appropriately as a pre-requisite for downstream Statistics courses. As such, this course is not currently open to students who have received credit for 36-201, 36/70-207, 36-220, 36-247, or any 300- or 400-level Statistics course.",4.68,4.67,4.66,4.45,4.6,4.63,4.73,4.63,4.53
34,Spring,Dietrich College of Humanities and Social Sciences,STA,36200,REASONING DATA,Undergraduate,6.06,applied,"This course is an introduction to learning how to make statistical decisions and reason with data. The approach will emphasize thinking through an empirical problem from beginning to end and using statistical tools to look for evidence for/against an explicit argument/hypothesis. Types of data will include continuous and categorical variables, images, text, networks, and repeated measures over time. Applications will largely draw from interdisciplinary case studies spanning the humanities, social sciences, and related fields. Methodological topics will include basic exploratory data analysis, elementary probability, hypothesis tests, and empirical research methods. There is no calculus or programming requirement. There will be one weekly computer lab for additional hands-on practice using an interactive software platform that allows student-driven inquiry. This course is the credit-equivalent to 36-201 and will be honored appropriately as a pre-requisite for downstream Statistics courses. As such, this course is not currently open to students who have received credit for 36-201, 36/70-207, 36-220, 36-247, or any 300- or 400-level Statistics course.",4.46,4.47,4.48,4.29,4.46,4.47,4.66,4.49,4.29
44,Summer,Dietrich College of Humanities and Social Sciences,STA,36200,REASONING DATA,Undergraduate,8.95,applied,"This course is an introduction to learning how to make statistical decisions and reason with data. The approach will emphasize thinking through an empirical problem from beginning to end and using statistical tools to look for evidence for/against an explicit argument/hypothesis. Types of data will include continuous and categorical variables, images, text, networks, and repeated measures over time. Applications will largely draw from interdisciplinary case studies spanning the humanities, social sciences, and related fields. Methodological topics will include basic exploratory data analysis, elementary probability, hypothesis tests, and empirical research methods. There is no calculus or programming requirement. There will be one weekly computer lab for additional hands-on practice using an interactive software platform that allows student-driven inquiry. This course is the credit-equivalent to 36-201 and will be honored appropriately as a pre-requisite for downstream Statistics courses. As such, this course is not currently open to students who have received credit for 36-201, 36/70-207, 36-220, 36-247, or any 300- or 400-level Statistics course.",4.74,4.68,4.79,4.37,4.58,4.74,4.84,4.58,4.63
17,Fall,College of Fine Arts,MUS,57173,SURVEY WEST MUS HIST,Undergraduate,4.19,theory,"This course surveys the development and contexts of European art music and its global adaptation. While keeping in view the chronology from Gregorian chant to the present, this survey emphasizes key personalities and issues, particularly issues relating to period style and interpretive decisions in performance.",4.54,4.46,4.27,4.19,4.19,4.38,4.62,4.23,4.35
45,Summer,College of Fine Arts,MUS,57173,SURVEY WEST MUS HIST,Undergraduate,8,theory,"This course surveys the development and contexts of European art music and its global adaptation. While keeping in view the chronology from Gregorian chant to the present, this survey emphasizes key personalities and issues, particularly issues relating to period style and interpretive decisions in performance.",4.5,5,4.5,5,5,5,5,5,5
18,Fall,Dietrich College of Humanities and Social Sciences,ECO,73102,PRINCPLES OF MICROEC,Undergraduate,7.09,theory,"The course is an introduction to microeconomic principles and how to think like an economist. Market and policy outcomes are largely a function of individual decisions. These questions typically take the form: how much and what combination of things should I buy? When do we want businesses to go bust? Should the government fund student tuition? Its my hope that youll also start to think about everyday questions from an economic lens: why were bicycles so hard to find this past summer? Is Uber surge pricing just a rip-off? Is illegal streaming bad for consumers? Throughout the semester, we will build a toolkit to allow us to understand how these decisions interact and explain market successes, market failures, and the role of government in the marketplace. Toward the end of the semester, well change a few underlying assumptions and address a variety of questions related to strategic interaction. Some of the topics we will begin to introduce include credible threats, commitment problems, and the strategic use of information. Not open to students who have received credit for 73-100. While there are no calculus pre-requisites for this course, students are encouraged to enroll in 73-102 after theyve passed 21-111. (Lecture, 2 hours; Recitation, 1 hour).",4.43,4.25,4.27,3.74,4.25,4.13,4.53,4.12,3.91
35,Spring,Dietrich College of Humanities and Social Sciences,ECO,73102,PRINCPLES OF MICROEC,Undergraduate,7.44,theory,"A one-semester course that teaches the fundamentals of microeconomics. Students will learn how microeconomic analysis can explain market successes, market failures, and how government intervention might improve outcomes. In addition to an investigation of firm behavior and consumer behavior, attention will be paid to: Game Theory, Behavioral Economics, Economics of Time and Risk, Economics of Information, Experimental Economics, and Auctions and Market Design. Students will also learn how to integrate basic data analysis and statistics. Not open to students who have received credit for 73-100. (Lecture, 2 hours; Recitation, 1 hour).",4.06,3.83,3.94,3.44,3.97,3.77,4.35,3.81,3.24
46,Summer,Dietrich College of Humanities and Social Sciences,ECO,73102,PRINCPLES OF MICROEC,Undergraduate,10.4,theory,"The course is an introduction to microeconomic principles and how to think like an economist. Market and policy outcomes are largely a function of individual decisions. These questions typically take the form: how much and what combination of things should I buy? When do we want businesses to go bust? Should the government fund student tuition? Its my hope that youll also start to think about everyday questions from an economic lens: why were bicycles so hard to find this past summer? Is Uber surge pricing just a rip-off? Is illegal streaming bad for consumers? Throughout the semester, we will build a toolkit to allow us to understand how these decisions interact and explain market successes, market failures, and the role of government in the marketplace. Toward the end of the semester, well change a few underlying assumptions and address a variety of questions related to strategic interaction. Some of the topics we will begin to introduce include credible threats, commitment problems, and the strategic use of information. Not open to students who have received credit for 73-100. While there are no calculus pre-requisites for this course, students are encouraged to enroll in 73-102 after theyve passed 21-111. (Lecture, 2 hours; Recitation, 1 hour).",4.33,4.4,4.47,4.07,4.47,4.33,4.73,4.4,4.2
19,Fall,Dietrich College of Humanities and Social Sciences,ENG,76270,WRITNG FOR PROFSNS,Undergraduate,6.67,writing,"Writing in the Professions is a writing course specifically designed for juniors and seniors in all majors other than English. The course is appropriate for upper-level students in all CMU colleges, has no writing prerequisites, and assumes that you may not have had much college-level writing instruction past your freshman year. The basic idea of the course is to give you experience in developing the writing skills you will be expected to have as you make the transition from student to professional. The course will cover resume writing, proposal writing, writing instructions, the difference between writing for general and specific audiences, and analysis of visual aids in various texts. The course requires that students work both independently and in groups.",4.62,4.56,4.59,4.53,4.56,4.65,4.76,4.59,4.36
36,Spring,Dietrich College of Humanities and Social Sciences,ENG,76270,WRITNG FOR PROFSNS,Undergraduate,6.77,writing,"Writing in the Professions is a writing course specifically designed for juniors and seniors in all majors other than English. The course is appropriate for upper-level students in all CMU colleges, has no writing prerequisites, and assumes that you may not have had much college-level writing instruction past your freshman year. The basic idea of the course is to give you experience in developing the writing skills you will be expected to have as you make the transition from student to professional. The course will cover resume writing, proposal writing, writing instructions, the difference between writing for general and specific audiences, and analysis of visual aids in various texts. The course requires that students work both independently and in groups.",4.83,4.67,4.78,4.74,4.8,4.77,4.87,4.76,4.56
47,Summer,Dietrich College of Humanities and Social Sciences,ENG,76270,WRITNG FOR PROFSNS,Undergraduate,8.64,writing,"Writing in the Professions is a writing course specifically designed for juniors and seniors in all majors other than English. The course is appropriate for upper-level students in all CMU colleges, has no writing prerequisites, and assumes that you may not have had much college-level writing instruction past your freshman year. The basic idea of the course is to give you experience in developing the writing skills you will be expected to have as you make the transition from student to professional. The course will cover resume writing, proposal writing, writing instructions, the difference between writing for general and specific audiences, and analysis of visual aids in various texts. The course requires that students work both independently and in groups.",4.93,5,5,4.79,4.93,4.93,5,5,5
37,Spring,Dietrich College of Humanities and Social Sciences,HIS,79201,INTRO ANTHROPOLOGY,Undergraduate,7.17,theory,"Cultural anthropologists make the strange familiar and the familiar strange, attempting to understand the internal logic of cultures which might, at first glance, seem bizarre to us, while at the same time probing those aspects of our own society which might appear equally bizarre to outsiders. The goal of this course is to raise questions basic to the study of culture and social relationships in a multitude of contexts. We will also discuss the anthropologists relationship to the people s/he studies, and the responsibilities inherent in that relationship. The readings have been chosen to focus on topics that have long captured anthropologists attention and that continue to be intensely debated: social inequality, race, colonialism, body, kinship, gender, history and memory, social lives of things, globalization, and global migration. These themes reveal the diversity of human practices and experiences across time and space. The format of the course will be a combination of lectures and discussions centered around the assigned readings and visual material. Through written work, readings, films, and in-class discussion, we will examine how anthropology makes us more aware of our own culturally-ingrained assumptions, while broadening our understanding of human experiences.",4.61,4.11,4.44,4.17,4.72,4.56,4.78,4.56,4.28
48,Summer,Dietrich College of Humanities and Social Sciences,HIS,79201,INTRO ANTHROPOLOGY,Undergraduate,11,theory,"Cultural anthropologists make the strange familiar and the familiar strange, attempting to understand the internal logic of cultures which might, at first glance, seem bizarre to us, while at the same time probing those aspects of our own society which might appear equally bizarre to outsiders. The goal of this course is to raise questions basic to the study of culture and social relationships in a multitude of contexts. We will also discuss the anthropologists relationship to the people s/he studies, and the responsibilities inherent in that relationship. The readings have been chosen to focus on topics that have long captured anthropologists attention and that continue to be intensely debated: social inequality, race, colonialism, body, kinship, gender, history and memory, social lives of things, globalization, and global migration. These themes reveal the diversity of human practices and experiences across time and space. The format of the course will be a combination of lectures and discussions centered around the assigned readings and visual material. Through written work, readings, films, and in-class discussion, we will examine how anthropology makes us more aware of our own culturally-ingrained assumptions, while broadening our understanding of human experiences.",5,5,5,5,5,5,5,5,5
20,Fall,Dietrich College of Humanities and Social Sciences,HIS,79240,DVLP AMERICAN CLTR,Undergraduate,5.64,theory,"This is an introductory survey of American history from the colonial era to recent times. It focuses on cultural issues instead of presidents, wars, and chronological facts. The major theme of the course is how the meanings of “freedom” have changed over 300 years. The learning objectives for this course are for students to be able to:  Understand major debates about political, economic, and personal freedom over 300 years of American life;  Interpret primary sources (both documents and books) orally and in writing, using the background information provided in lectures;  Write formal essays that analyze assigned books, by placing them in the context of what freedom meant at particular times in history; and  Demonstrate mastery, on midterm exams, of major ideas and relevant facts from Eric Foner’s The Story of American Freedom.",4.57,4.5,4.57,4.43,4.29,4.5,4.64,4.14,4.21
49,Summer,Dietrich College of Humanities and Social Sciences,HIS,79240,DVLP AMERICAN CLTR,Undergraduate,11.7,theory,"This is an introductory survey of American history from the colonial era to recent times. It focuses on cultural issues instead of presidents, wars, and chronological facts. The major theme of the course is how the meanings of “freedom” have changed over 300 years. The learning objectives for this course are for students to be able to:  Understand major debates about political, economic, and personal freedom over 300 years of American life;  Interpret primary sources (both documents and books) orally and in writing, using the background information provided in lectures;  Write formal essays that analyze assigned books, by placing them in the context of what freedom meant at particular times in history; and  Demonstrate mastery, on midterm exams, of major ideas and relevant facts from Eric Foner’s The Story of American Freedom.",4.8,4.8,4.8,4.7,4.4,4.7,4.9,4.6,4.6
21,Fall,Dietrich College of Humanities and Social Sciences,HIS,79388,HISTORY OF SPORTS,Undergraduate,5.33,theory,"[Note: students who have taken course number 79-388, with former titles, Race, Gender, and the Politics of Sports in America since 1900 or 79-388, History of Sports in the United States, may not enroll.] In this course, we will survey the history of sport in the United States from the late nineteenth-century into the twenty-first century. While we will discuss star athletes, famous games, and popular teams, we will focus more on evaluating the significance of sport in American history. We will address issues of race, gender, class, and poltics; the commercialization of sport; as well as the relationship between intercollegiate athletics and higher education. We will pay particular attention to inclusion and exclusion in sport - who was allowed to play and who was not - and how that changed (or did not change) over time. By semesters end, students will be able to look beyond the box scores and question how sports has reflected larger trends in American life as well as how it has influenced American history and our world today.",4.44,4.78,4.33,4.33,4.44,4.78,5,4.33,4.33
22,Fall,Dietrich College of Humanities and Social Sciences,ML,82101,ELEMENTARY FRENCH I,Undergraduate,8.3,language,"This course is for students with no prior experience in French. Using a proficiency-oriented approach, students will develop contextually appropriate interpersonal communication skills in both written and spoken French, develop reading and listening skills through the use of various media, understand fundamental grammar, acquire vocabulary, and gain a basic understanding of French and francophone cultures through class activities. Regular homework, quizzes, tests, presentations, and class participation are mandatory (four in-class hours per week). The elementary level is also designed to help students learn to reflect and draw upon strategies used by good language learners in their second language study. A student with prior experience in French must take the placement exam.",4.95,5,4.95,5,4.95,5,4.95,4.9,4.85
38,Spring,Dietrich College of Humanities and Social Sciences,ML,82101,ELEMENTARY FRENCH I,Undergraduate,8.33,language,"This course is for students with no prior experience in French. Using a proficiency-oriented approach, students will develop contextually appropriate interpersonal communication skills in both written and spoken French, develop reading and listening skills through the use of various media, understand fundamental grammar, acquire vocabulary, and gain a basic understanding of French and francophone cultures through class activities. Regular homework, quizzes, tests, presentations, and class participation are mandatory (four in-class hours per week). The elementary level is also designed to help students learn to reflect and draw upon strategies used by good language learners in their second language study. A student with prior experience in French must take the placement exam.",4.56,4.31,4.36,4.44,4.33,4.28,4.47,4.36,4.22
